tweet_id|text|date_id
89|rt  redmasnoticias  📺 envivo    debemos estar preparados para cuando la vacuna llegue a  colombia   representante a la cámara   ricardoferr|308
90|rt  miltonrianop  espectacular vista de los llanos orientales de colombia  ya apreciamos la deforestación  si seguimos así el planeta el pl|308
91|nuestra misión es garantizar que su trabajo sea seguro  hemos dispuesto de las capacidades de  sanidadmilitar para proteger a nuestro personal sanitario de la     con este compromiso les decimos ¡buenos días  colombia   col ejercito https   t co |308
92|rt    ninguna vacuna en este momento puede asegurar su efectividad en cambio sus efectos secundarios pueden ser importantes  todas i|308
93|rt  ejercito disan  nuestra misión es garantizar que su trabajo sea seguro  hemos dispuesto de las capacidades de  sanidadmilitar para prot|308
94|rt  pantallazos not  lo que viene en  colombia sobre    covidsecondwave anuncia  minsaludcol  supersalud  ricardocipago  fsfb salud|308
95|rt  saenz al  a diferencia de ee uu y europa  el  en a  latina se redujo en algo este mes  con comportamientos diversos  uno de crec|308
96|rt  ricardoferro   colombianos accederán gratuitamente a la vacuna del covid    congreso aprueba proyecto para acceder gratuitamente a la|308
97|suena cruel  pero será el covid  el remedio para al menos disminuir la corrupción🙏 murió el exsenador juan josé garcía romero por covid    regiones   w radio colombia   amp https   t co lcfslrpnzc|308
98| alaire en  unanalisis     profesora del  iepri bog  directora cátedra china  coordinadora  red asia   unaloficial  hablamos con ella sobre como se vive la   en  colombia     unradiomedellin https   t co   somosunal https   t co |308
99|el       de los casos registrados de   en el país son  importados   de los cuales   provienen de colombia   de brasil   de perú   de ecuador y  de otras latitudes   consulta nuestro último reporte  https   t co    monitordesalud|308
100|únete a nosotros este jueves  de diciembre  desde las  horas de colombia  para una edición de  laconversa a través de  facebooklive  en una alianza entre  lanetwork   agendacaf  y la  rcitiesnetwork   para hablar sobre la recuperación urbana   en  latinoamérica  https   t co ubhqqtbbla|308
101|rt  unanalisis   alaire en  unanalisis     profesora del  iepri bog  directora cátedra china  coordinadora  red asia   unalo|308
102|colombia  entre los tres primeros países en desigualdad y entre los últimos en recibir la vacuna contra el   lo que el pueblo elige es lo que se merece  ¿seguiremos así |308
103|qué nombre le pondrán al cartel de la vacuna del  en colombia  |308
104|rt  mclacouture  los espero mañana  a  las   a m   en este diálogo franco sobre las vacunas   organizado por  amchamcol con  fifa|308
105|se levanta el mundo con una gran noticia  aprueban la primera vacuna contra el   es grande tu misericordia dios  a seguirnos cuidando hasta que llegue la vacuna a colombia💪🏽🙏🏽|308
106|el   también ha traído algo de justicia a colombia  ha juzgado y condenado a una de las peores ratas que ha nacido en este país  juan josé garcía romero   https   t co |308
107|a raíz de la    el mundo vive un boom de  eventos virtuales y colombia no es la excepción  a diario  el país es partícipe de conciertos y conferencias en línea en las que miles de personas se conectan a través de sus pantallas   https   t co  vía  portafolioco|308
108|murió el exsenador juan josé garcía romero por covid    regiones   w radio colombia https   t co ifofxnsiaq vía  wradiocolombia|308
109|rt  wratorres  suena cruel  pero será el covid  el remedio para al menos disminuir la corrupción🙏 murió el exsenador juan josé garcía rom|308
110|iniciamos el conversatorio sobre el status actual de las vacunas contra el    en compañía de  afidro colombia   amchamcol y con la participación de la  doctorafernanda  puede conectarse por aquí  https   t co  https   t co |308
111|las noticias de la llegada de una vacuna contra el   ayuda a reducir la incertidumbre  pero los efectos económicos y sociales de la pandemia permanecerán por mucho tiempo    afidro colombia  fifarmalatam  📹https   t co  https   t co |308
112|🎥 video   pacientes con   continúan siendo trasladados por la  fuerzaaereacol desde providencia en cápsulas de aislamiento y monitoreados por personal médico militar  ▶️ https   t co    redmásnoticias  pandemia  salud  colombia  maritovillalobo https   t co |308
113|noticia que marca el inicio del fin de una pesadilla llamada     esperamos que en  colombia las distintas corrientes políticas rodeen al gobierno nacional en este asunto que no se puede politizar ya que es una política de estado   felizmiercoles https   t co |308
114|rt  mclacouture  las noticias de la llegada de una vacuna contra el   ayuda a reducir la incertidumbre  pero los efectos económicos|308
115|rt  fifarmalatam  iniciamos el conversatorio sobre el status actual de las vacunas contra el    en compañía de  afidro colombia   am|308
116|ojalá que la vacuna   para colombia no resulte otro cuento chino |308
117|la pregunta es  ¿en  colombia cuando conoceremos con certeza el plan para la adquisición y aprobación del uso de alguna vacuna contra el     felizmiercoles  https   t co |308
118|según la universidad johns hopkins  en latinoamérica  los países con más contagios por   son   brasil   🇧🇷 ◽argentina   🇦🇷 ◽colombia   🇨🇴 ◽méxico   🇲🇽 ◽perú  🇵🇪 ◽chile  🇨🇱 ◽ecuador  🇪🇨   https   t co |308
119|rt  ticketcode  a raíz de la    el mundo vive un boom de  eventos virtuales y colombia no es la excepción  a diario  el país es part|308
120|rt  redmasnoticias  🎥 video   pacientes con   continúan siendo trasladados por la  fuerzaaereacol desde providencia en cápsulas de a|308
121|rt  antoncaballeroh  el   también ha traído algo de justicia a colombia  ha juzgado y condenado a una de las peores ratas que ha nac|308
122|rt    titulares de miércoles  de diciembre en noticias   alamanecer por    con  eileencardet    kar|308
123| yorecomiendo conversatorio vacunas  status actual de vacunas 💉 para enfrentar el    afidro colombia  amchameu  fifarmalatam https   t co |308
124|si señores  colombia al mismo nivel que áfrica  será de los últimos países en iniciar jornadas de vacunación    pelmazos  ivanduque y  german vargas|308
125| egonayerbe ya existe el cartel de vacunas    en colombia 🇨🇴 hecha la ley hecha la trampa |308
126| ivanduque  novoy no al turismo en leticia  colombia   quedateencasa  no busque lo que no se le ha perdido  novoy ¿o prefiere contagio     irresponsables   jrestrp  fonturcol  flaviasantorot  mindefensa  bog eldorado  onvacationofic  goberamazonas  policiamazonas  aerocivilcol https   t co yagwpknlgd|308
127|creo que el nivel que propone el  gobiernoilegitimo de  ivanduque y con usted  fruizgomez que en cabeza  minsaludcol es que se profundice la corrupción con el cartel de la vacuna   ustedes señores junto con el  cedemocratico rodean de oscuridad y muerte a colombia  https   t co |308
128| aerocivilcol  ivanduque  mintransporteco  novoy no al turismo en leticia  colombia   quedateencasa  no busque lo que no se le ha perdido  novoy ¿o prefiere contagio     irresponsables   jrestrp  fonturcol  flaviasantorot    bog eldorado  onvacationofic  goberamazonas  policiamazonas  aerocivilcol https   t co |308
129| acregiones  ivanduque  ampalau  construyopais  goberamazonas  infopresidencia  galdinocedeno  mintransporteco  novoy no al turismo en leticia  colombia   quedateencasa  no busque lo que no se le ha perdido  novoy ¿o prefiere contagio     irresponsables   jrestrp  fonturcol  flaviasantorot    bog eldorado  onvacationofic  goberamazonas  policiamazonas  aerocivilcol https   t co |308
130| ani colombia  orozco angela  ivanduque  infopresidencia  mintransporteco  novoy no al turismo en leticia  colombia   quedateencasa  no busques lo que no se te ha perdido  novoy ¿o prefieres contagio     irresponsables   jrestrp  fonturcol  flaviasantorot    bog eldorado  onvacationofic  goberamazonas  policiamazonas  aerocivilcol https   t co |308
131| tenemos dos candidatas a vacunas gracias al trabajo en equipo y esperamos que esos estudios clínicos puedan llegar muy pronto a colombia   dr  camilo moreno director médico  msdlatam en evento con  afidro colombia y  amchamcol sobre  status vacunas del   |308
